Name,2014-2018
Alabama,0.142
Alaska,0.073
Arizona,0.132
Arkansas,0.138
California,0.171
Colorado,0.086
Connecticut,0.095
Delaware,0.102
District of Columbia,0.094
Florida,0.12
Georgia,0.133
Hawaii,0.082
Idaho,0.094
Illinois,0.111
Indiana,0.114
Iowa,0.08
Kansas,0.093
Kentucky,0.143
Louisiana,0.152
Maine,0.077
Maryland,0.1
Massachusetts,0.096
Michigan,0.095
Minnesota,0.07
Mississippi,0.161
Missouri,0.104
Montana,0.068
Nebraska,0.089
Nevada,0.137
New Hampshire,0.071
New Jersey,0.105
New Mexico,0.147
New York,0.135
North Carolina,0.126
North Dakota,0.075
Ohio,0.099
Oklahoma,0.122
Oregon,0.096
Pennsylvania,0.098
Rhode Island,0.12
South Carolina,0.129
South Dakota,0.083
Tennessee,0.13
Texas,0.168
Utah,0.08
Vermont,0.074
Virginia,0.107
Washington,0.089
West Virginia,0.135
Wisconsin,0.081
Wyoming,0.071