U.S. State,Abortion rate 
Alabama,8.3
Alaska,9.9
Arizona,10.5
Arkansas,6.2
California,17.3
Colorado,9.8
Connecticut,18.2
Delaware,16.1
District of Columbia,15.5
Florida,17.5
Georgia,15.2
Hawaii,11.7
Idaho,5.5
Illinois,14.7
Indiana,7.9
Iowa,6.9
Kansas,6.3
Kentucky,5.5
Louisiana,10.7
Maine,9
Maryland,21.7
Massachusetts,14.1
Michigan,14.1
Minnesota,9.1
Mississippi,8.6
Missouri,8.6
Montana,8.2
Nebraska,5.9
Nevada,16.5
New Hampshire,9.9
New Jersey,28.2
New Mexico,10.6
New York,27.4
North Carolina,11.6
North Dakota,6.6
Ohio,9.4
Oklahoma,5.9
Oregon,11.4
Pennsylvania,14.6
Rhode Island,16
South Carolina,11.4
South Dakota,4.6
Tennessee,8.6
Texas,9.4
Utah,4.6
Vermont,11.1
Virginia,13.1
Washington,12.1
West Virginia,7.6
Wisconsin,6.8
Wyoming,7